Distance (km),Delayed,Vehicle Type_Lorry,Vehicle Type_Trailer,Vehicle Type_Truck,Weather Conditions_Fog,Weather Conditions_Rain,Weather Conditions_Storm,Traffic Conditions_Light,Traffic Conditions_Moderate
1582,No,False,False,False,False,False,False,True,False
1308,Yes,False,True,False,False,False,False,False,True
813,No,False,False,True,False,False,False,True,False
1290,Yes,False,False,False,False,False,False,False,True
1132,Yes,True,False,False,False,True,False,True,False
1528,Yes,False,False,False,False,False,False,False,True
963,Yes,False,True,False,False,False,False,False,True
1069,Yes,False,False,False,False,True,False,True,False
871,No,True,False,False,False,False,False,True,False
1189,Yes,False,True,False,False,False,False,False,True
301,Yes,True,False,False,False,True,False,True,False
1488,Yes,False,True,False,False,False,False,False,True
471,Yes,False,True,False,False,False,False,False,False
668,Yes,True,False,False,False,True,False,False,False
1358,Yes,True,False,False,False,False,False,False,False
1509,Yes,False,False,True,True,False,False,False,False
1709,Yes,True,False,False,False,False,False,False,False
1272,Yes,False,False,True,False,False,False,True,False
1554,Yes,False,False,False,False,False,False,False,True
494,Yes,True,False,False,False,True,False,False,True
501,No,False,False,True,False,False,False,True,False
513,Yes,False,False,False,True,False,False,True,False
959,Yes,False,False,False,False,False,False,False,False
793,Yes,True,False,False,False,False,False,False,True
1091,Yes,False,True,False,True,False,False,False,True
1443,Yes,False,True,False,False,False,False,False,True
1113,Yes,False,True,False,False,False,False,False,True
748,Yes,False,True,False,False,True,False,False,True
792,Yes,False,False,False,False,False,False,False,True
252,Yes,False,False,False,False,False,False,False,False
1659,Yes,False,False,False,False,False,False,False,True
706,Yes,False,True,False,True,False,False,False,False
273,No,True,False,False,False,False,False,True,False
897,No,False,False,True,False,False,False,True,False
441,Yes,False,False,False,False,False,False,False,True
1935,Yes,False,False,False,False,False,False,False,True
1749,Yes,False,False,False,False,False,True,False,True
648,Yes,False,False,True,False,False,False,False,True
1806,Yes,False,False,False,False,False,False,False,False
1520,No,False,False,False,False,False,False,True,False
1054,No,True,False,False,False,False,False,True,False
1931,Yes,False,False,True,False,False,False,False,True
475,Yes,False,False,False,False,False,False,False,False
1151,Yes,False,False,False,False,False,False,False,True
977,Yes,False,True,False,False,True,False,True,False
896,Yes,False,False,False,False,False,False,False,True
441,Yes,False,True,False,False,True,False,True,False
715,Yes,False,True,False,False,True,False,False,True
1400,No,False,False,False,False,False,False,True,False
368,Yes,False,False,True,False,False,False,False,True
899,Yes,False,False,True,False,False,False,False,True
1143,Yes,False,True,False,True,False,False,False,True
1262,Yes,False,False,False,False,False,False,False,True
928,Yes,False,False,False,False,False,False,True,False
735,No,False,False,True,False,False,False,True,False
1479,No,True,False,False,False,False,False,True,False
495,Yes,False,False,True,False,False,False,False,True
796,Yes,False,False,False,False,False,False,False,True
1703,Yes,False,True,False,False,False,False,False,False
882,Yes,False,True,False,False,False,False,False,False
625,Yes,False,False,True,False,True,False,False,False
1281,Yes,False,True,False,False,False,False,False,True
1635,Yes,False,False,False,False,False,False,False,True
537,Yes,False,False,False,False,False,False,False,False
1978,Yes,False,True,False,False,False,False,False,True
936,Yes,False,False,True,False,True,False,True,False
1479,No,False,True,False,False,False,False,True,False
1658,Yes,False,False,False,False,False,False,True,False
1264,Yes,False,True,False,True,False,False,False,True
729,Yes,False,False,True,False,False,False,False,True
1249,Yes,False,False,False,True,False,False,False,True
1279,No,True,False,False,False,False,False,True,False
851,No,True,False,False,False,False,False,True,False
967,Yes,True,False,False,False,False,False,False,True
883,No,False,False,True,False,False,False,True,False
1597,Yes,False,True,False,False,False,False,False,True
1281,Yes,False,False,True,False,False,False,False,True
1443,No,False,False,True,False,False,False,True,False
354,Yes,False,True,False,False,False,False,False,True
1176,No,False,True,False,False,False,False,True,False
886,No,False,True,False,False,False,False,True,False
789,Yes,True,False,False,False,True,False,False,True
1959,Yes,False,True,False,False,False,False,False,False
1298,No,False,False,False,False,False,False,True,False
1894,Yes,False,False,False,False,False,False,False,True
1449,Yes,False,False,False,False,False,False,False,False
245,Yes,True,False,False,False,True,False,False,True
1404,Yes,False,True,False,False,False,False,False,False
1049,Yes,False,False,False,False,False,False,True,False
1038,Yes,True,False,False,False,False,False,False,True
1776,Yes,False,False,False,False,False,False,False,True
1141,Yes,False,True,False,False,False,False,False,True
1647,Yes,True,False,False,False,False,False,False,False
1885,No,False,False,True,False,False,False,True,False
472,No,True,False,False,False,False,False,True,False
1222,Yes,False,True,False,True,False,False,False,True
1489,No,False,True,False,False,False,False,True,False
1269,Yes,False,False,False,False,False,False,True,False
610,Yes,False,False,False,False,False,False,True,False
1879,No,False,True,False,False,False,False,True,False
335,Yes,True,False,False,False,False,False,False,False
819,Yes,False,False,False,False,False,False,False,True
207,No,False,False,True,False,False,False,True,False
1123,Yes,False,False,False,False,False,False,True,False
1538,Yes,True,False,False,False,False,False,False,True
344,Yes,True,False,False,False,False,True,False,True
1420,Yes,False,False,False,False,False,False,False,True
691,No,False,True,False,False,False,False,True,False
1823,No,False,False,False,False,False,False,True,False
400,Yes,False,False,False,False,False,False,False,True
1178,Yes,False,False,False,False,False,False,False,True
1421,Yes,True,False,False,False,True,False,True,False
871,Yes,True,False,False,True,False,False,False,True
908,Yes,False,False,False,False,False,True,False,True
1284,Yes,False,True,False,False,False,False,False,True
1564,Yes,True,False,False,False,False,False,False,True
1095,Yes,True,False,False,False,False,False,False,False
1795,No,False,False,True,False,False,False,True,False
1255,Yes,False,True,False,False,False,True,False,True
288,Yes,True,False,False,False,False,False,False,True
978,Yes,False,False,True,False,False,False,True,False
1499,Yes,True,False,False,True,False,False,True,False
724,Yes,False,False,False,False,False,False,False,True
879,Yes,False,False,False,False,False,False,False,False
1508,Yes,False,True,False,False,False,False,False,False
475,Yes,False,False,False,False,False,False,False,True
1417,Yes,True,False,False,False,False,False,True,False
850,Yes,False,True,False,False,False,False,True,False
959,Yes,True,False,False,False,False,False,False,True
715,Yes,False,False,False,False,False,True,False,False
609,Yes,False,True,False,False,False,False,False,True
850,Yes,False,False,False,False,False,False,True,False
1168,Yes,True,False,False,False,False,False,False,True
299,Yes,False,False,False,False,False,False,False,False
322,Yes,False,True,False,False,False,False,False,True
607,Yes,True,False,False,False,False,False,False,False
1771,No,False,False,True,False,False,False,True,False
1760,No,False,False,False,False,False,False,True,False
1101,Yes,True,False,False,False,False,False,False,False
1163,No,False,False,True,False,False,False,True,False
781,No,False,False,False,False,False,False,True,False
1072,No,True,False,False,False,False,False,True,False
390,Yes,True,False,False,False,False,False,False,True
1105,Yes,False,False,True,False,False,True,True,False
885,Yes,False,False,False,False,True,False,True,False
1027,No,False,True,False,False,False,False,True,False
269,Yes,True,False,False,False,False,False,False,True
954,No,True,False,False,False,False,False,True,False
289,Yes,True,False,False,False,False,False,False,False
847,Yes,False,True,False,False,False,False,False,False
777,No,False,False,False,False,False,False,True,False
1086,Yes,False,True,False,False,True,False,True,False
1032,Yes,True,False,False,True,False,False,False,False
1881,Yes,False,False,False,False,False,False,False,True
629,Yes,False,False,False,True,False,False,True,False
851,Yes,True,False,False,False,True,False,False,False
1306,Yes,False,True,False,False,False,False,False,False
1666,Yes,False,True,False,False,False,False,False,False
792,No,False,False,False,False,False,False,True,False
478,Yes,True,False,False,False,False,False,False,False
614,Yes,False,False,False,False,False,False,False,True
1547,Yes,False,False,False,False,False,False,True,False
1008,Yes,False,False,True,False,False,True,False,True
1519,Yes,False,True,False,False,False,False,False,False
1319,Yes,False,False,True,False,True,False,True,False
783,Yes,False,True,False,False,False,True,False,True
745,Yes,True,False,False,False,False,False,True,False
1110,Yes,False,True,False,False,False,False,False,True
1624,Yes,False,False,True,True,False,False,True,False
1575,Yes,True,False,False,False,True,False,False,True
1715,No,False,True,False,False,False,False,True,False
962,Yes,False,True,False,True,False,False,False,True
387,Yes,True,False,False,True,False,False,True,False
1825,Yes,False,False,False,False,False,False,True,False
697,No,False,True,False,False,False,False,True,False
1384,Yes,False,False,False,False,False,True,True,False
610,Yes,False,False,True,True,False,False,False,False
1148,Yes,False,False,True,False,False,False,True,False
807,Yes,False,False,True,False,True,False,True,False
208,Yes,False,True,False,False,True,False,True,False
981,No,False,False,True,False,False,False,True,False
1373,No,False,False,True,False,False,False,True,False
804,Yes,False,False,False,False,True,False,True,False
208,Yes,False,False,False,True,False,False,True,False
1337,Yes,False,True,False,False,False,False,False,True
671,No,False,True,False,False,False,False,True,False
1901,Yes,False,False,False,False,False,False,False,True
986,Yes,False,False,False,False,False,False,False,True
1111,Yes,True,False,False,False,True,False,False,False
1673,Yes,False,True,False,False,False,True,False,True
1857,No,True,False,False,False,False,False,True,False
1980,Yes,True,False,False,False,False,False,False,True
367,Yes,True,False,False,False,False,True,False,True
849,Yes,False,True,False,False,False,True,False,False
1352,No,False,True,False,False,False,False,True,False
407,Yes,False,False,False,False,True,False,True,False
737,Yes,True,False,False,False,False,False,False,False
747,Yes,False,True,False,False,False,False,True,False
905,Yes,False,False,True,False,True,False,False,True
681,No,False,False,True,False,False,False,True,False
318,Yes,False,False,False,False,False,False,False,True
1794,Yes,False,True,False,False,False,False,False,True
1083,Yes,False,False,True,False,False,False,False,False
1942,Yes,False,False,True,False,True,False,False,False
617,Yes,False,False,False,False,False,False,False,False
713,Yes,False,False,True,False,False,False,True,False
1525,Yes,True,False,False,False,True,False,False,False
1853,Yes,False,True,False,False,False,False,False,True
1674,Yes,False,False,False,False,False,False,False,True
1099,Yes,False,True,False,False,True,False,True,False
1324,Yes,False,False,True,False,True,False,True,False
1536,Yes,False,False,False,False,False,False,False,True
1170,Yes,False,True,False,False,False,False,False,True
1201,Yes,True,False,False,False,True,False,True,False
1864,Yes,False,False,True,True,False,False,True,False
216,Yes,False,False,False,False,False,False,False,False
848,Yes,False,True,False,False,False,False,False,True
492,Yes,False,False,True,False,True,False,True,False
1472,No,False,False,True,False,False,False,True,False
839,Yes,False,False,False,False,True,False,False,False
1815,Yes,False,False,True,False,False,False,False,False
1358,Yes,True,False,False,False,False,False,False,True
1832,Yes,True,False,False,False,False,False,False,False
1667,Yes,False,False,True,False,False,False,True,False
234,Yes,True,False,False,False,False,False,False,False
1124,No,True,False,False,False,False,False,True,False
1464,Yes,False,False,True,False,False,False,False,True
721,Yes,False,True,False,False,True,False,False,True
1266,No,True,False,False,False,False,False,True,False
853,Yes,False,False,False,False,False,False,False,True
315,Yes,False,False,True,False,False,False,True,False
1782,Yes,False,True,False,False,False,False,False,True
223,Yes,False,False,True,False,True,False,False,True
335,Yes,False,False,True,False,False,False,False,True
276,Yes,True,False,False,True,False,False,False,True
1644,Yes,True,False,False,False,False,False,False,True
752,Yes,False,False,True,False,True,False,True,False
1893,Yes,False,False,True,True,False,False,False,True
1569,No,True,False,False,False,False,False,True,False
277,No,False,False,True,False,False,False,True,False
1042,Yes,False,False,False,False,False,False,False,True
1642,Yes,True,False,False,False,False,False,False,True
789,No,True,False,False,False,False,False,True,False
1322,Yes,False,True,False,False,False,False,False,True
564,Yes,False,True,False,False,True,False,False,False
1580,Yes,False,False,False,False,True,False,True,False
1235,Yes,False,False,False,False,False,False,False,True
805,Yes,False,True,False,False,True,False,True,False
1465,Yes,False,True,False,False,False,False,False,True
507,No,True,False,False,False,False,False,True,False
1614,Yes,True,False,False,False,False,False,False,False
1570,Yes,False,False,True,False,False,False,True,False
1474,Yes,False,False,False,False,False,False,False,True
1282,Yes,True,False,False,True,False,False,False,True
1891,Yes,False,False,True,False,False,False,False,True
603,Yes,True,False,False,False,True,False,True,False
656,Yes,False,True,False,False,True,False,True,False
363,No,False,True,False,False,False,False,True,False
263,Yes,True,False,False,False,False,False,False,True
927,Yes,False,True,False,False,True,False,True,False
1418,Yes,False,False,False,False,False,True,True,False
318,Yes,False,True,False,False,False,False,True,False
1342,No,False,False,False,False,False,False,True,False
1614,No,False,False,False,False,False,False,True,False
1345,Yes,False,True,False,False,False,False,False,True
215,No,False,False,False,False,False,False,True,False
1229,No,False,True,False,False,False,False,True,False
525,Yes,True,False,False,False,True,False,True,False
499,Yes,True,False,False,False,True,False,False,True
1153,Yes,True,False,False,False,True,False,False,False
782,No,False,True,False,False,False,False,True,False
563,Yes,False,False,False,False,True,False,False,True
924,No,False,False,False,False,False,False,True,False
1175,Yes,False,False,False,False,False,False,True,False
791,Yes,False,False,True,False,False,False,False,True
328,Yes,True,False,False,False,True,False,True,False
1655,Yes,True,False,False,True,False,False,False,True
1962,Yes,False,True,False,False,False,False,False,True
791,Yes,False,True,False,False,False,True,True,False
1973,No,False,True,False,False,False,False,True,False
262,Yes,False,False,True,True,False,False,False,True
1931,Yes,True,False,False,True,False,False,True,False
1054,No,False,True,False,False,False,False,True,False
1631,No,False,False,True,False,False,False,True,False
871,Yes,True,False,False,False,False,False,False,True
261,Yes,True,False,False,False,False,False,False,False
590,Yes,False,False,True,False,True,False,True,False
464,Yes,True,False,False,False,False,False,True,False
1705,Yes,False,False,True,False,True,False,True,False
905,Yes,False,False,True,False,True,False,False,True
1712,No,False,False,True,False,False,False,True,False
1874,Yes,False,True,False,False,False,False,True,False
1708,No,True,False,False,False,False,False,True,False
945,No,False,True,False,False,False,False,True,False
656,No,False,False,True,False,False,False,True,False
1322,Yes,False,True,False,False,True,False,True,False
1891,Yes,False,False,False,False,False,False,False,False
722,Yes,True,False,False,False,True,False,False,False
1447,No,False,False,True,False,False,False,True,False
953,No,False,False,False,False,False,False,True,False
497,Yes,False,True,False,False,False,False,False,True
1362,No,False,False,True,False,False,False,True,False
1196,No,False,False,True,False,False,False,True,False
1250,Yes,True,False,False,False,False,False,True,False
1100,Yes,False,False,True,False,False,False,True,False
1528,No,False,True,False,False,False,False,True,False
479,Yes,True,False,False,False,False,False,False,False
261,Yes,False,True,False,False,False,False,False,False
1899,No,False,False,False,False,False,False,True,False
840,Yes,True,False,False,False,False,False,False,True
652,No,False,False,True,False,False,False,True,False
584,Yes,False,True,False,False,False,False,False,True
1646,Yes,False,False,True,False,False,False,False,True
329,Yes,True,False,False,False,False,False,False,True
1483,No,False,False,False,False,False,False,True,False
526,Yes,False,False,False,False,False,False,False,False
255,No,False,True,False,False,False,False,True,False
650,No,False,True,False,False,False,False,True,False
1134,No,True,False,False,False,False,False,True,False
1658,Yes,True,False,False,False,False,False,False,False
231,Yes,False,False,True,False,False,False,False,True
606,Yes,False,False,False,False,False,False,False,True
1130,No,True,False,False,False,False,False,True,False
327,Yes,True,False,False,False,False,False,False,True
448,Yes,False,False,True,False,False,False,False,False
1434,Yes,False,False,False,False,False,False,True,False
840,Yes,False,False,True,False,True,False,True,False
321,Yes,False,False,True,False,False,False,False,True
862,No,False,False,True,False,False,False,True,False
913,Yes,False,False,True,True,False,False,False,True
812,Yes,False,True,False,False,False,False,False,True
1424,Yes,False,False,False,False,False,False,False,True
1603,Yes,True,False,False,False,False,False,False,True
1284,Yes,False,False,True,False,False,False,False,True
1555,Yes,False,False,True,True,False,False,False,True
442,Yes,True,False,False,True,False,False,False,True
429,Yes,False,True,False,False,True,False,True,False
669,No,True,False,False,False,False,False,True,False
1744,Yes,False,True,False,False,True,False,True,False
1353,Yes,False,False,True,False,False,False,False,True
699,No,False,False,False,False,False,False,True,False
1672,Yes,False,False,False,True,False,False,False,False
226,Yes,False,True,False,False,True,False,False,False
1290,No,True,False,False,False,False,False,True,False
1343,Yes,True,False,False,False,True,False,True,False
1276,No,False,True,False,False,False,False,True,False
711,Yes,False,False,True,False,True,False,True,False
1541,Yes,False,False,True,False,True,False,True,False
1453,Yes,False,False,False,False,False,False,True,False
1423,Yes,False,False,False,False,False,False,False,True
1562,Yes,False,False,True,False,False,False,False,True
1573,Yes,False,False,False,False,False,True,False,True
1656,No,True,False,False,False,False,False,True,False
968,Yes,False,True,False,True,False,False,False,True
1971,No,False,False,True,False,False,False,True,False
1263,Yes,False,False,True,False,False,True,True,False
1598,Yes,False,True,False,False,False,False,True,False
704,Yes,True,False,False,True,False,False,True,False
514,Yes,False,False,True,False,False,False,False,False
963,No,True,False,False,False,False,False,True,False
1492,Yes,False,False,True,False,False,False,True,False
1247,No,False,False,False,False,False,False,True,False
551,Yes,True,False,False,False,False,False,False,True
1056,No,False,True,False,False,False,False,True,False
1373,Yes,False,True,False,False,False,False,False,True
1157,No,False,True,False,False,False,False,True,False
322,No,False,True,False,False,False,False,True,False
786,Yes,True,False,False,False,False,False,False,False
1909,Yes,False,False,True,False,False,False,False,False
1042,No,False,True,False,False,False,False,True,False
575,No,False,False,True,False,False,False,True,False
481,Yes,True,False,False,False,True,False,False,True
1726,Yes,False,False,True,False,False,False,False,False
1997,Yes,False,True,False,False,False,False,False,False
1858,Yes,True,False,False,False,False,False,False,True
1322,Yes,True,False,False,False,False,False,False,True
403,Yes,False,False,True,False,False,True,True,False
1528,No,False,False,True,False,False,False,True,False
979,Yes,False,False,True,False,True,False,True,False
1907,Yes,False,False,True,False,False,False,True,False
400,No,True,False,False,False,False,False,True,False
1544,Yes,False,False,True,False,False,False,False,True
1214,No,True,False,False,False,False,False,True,False
566,No,True,False,False,False,False,False,True,False
451,Yes,False,True,False,False,False,False,False,True
1052,Yes,False,False,False,False,False,False,False,False
1164,Yes,False,False,True,False,False,False,False,True
1382,Yes,True,False,False,False,True,False,False,False
437,Yes,False,True,False,False,True,False,False,True
1549,Yes,False,False,False,False,False,False,True,False
1382,Yes,True,False,False,False,True,False,False,True
988,Yes,False,False,False,False,True,False,False,True
1904,No,True,False,False,False,False,False,True,False
792,Yes,True,False,False,False,False,False,False,True
1633,Yes,False,False,False,False,True,False,True,False
1491,Yes,False,False,False,False,True,False,False,False
1738,Yes,False,True,False,False,False,False,False,True
1683,Yes,False,True,False,False,True,False,False,False
1768,Yes,False,False,False,False,False,False,False,False
1476,Yes,False,False,False,False,False,False,False,False
1893,Yes,True,False,False,False,False,False,False,True
626,Yes,False,False,False,False,False,False,True,False
763,Yes,True,False,False,False,False,False,False,True
589,Yes,False,False,True,False,False,False,False,True
1257,Yes,False,False,False,False,False,False,False,True
988,Yes,False,False,True,False,True,False,False,False
275,Yes,False,False,True,False,False,False,False,False
985,Yes,False,False,True,False,False,False,False,True
1711,Yes,True,False,False,True,False,False,True,False
1735,Yes,True,False,False,True,False,False,True,False
1461,Yes,False,True,False,False,False,False,False,True
1206,Yes,True,False,False,False,True,False,True,False
1765,Yes,False,False,False,True,False,False,False,True
474,Yes,True,False,False,False,False,False,False,True
318,Yes,False,False,False,False,False,False,False,True
