Shipment ID,Origin,Destination,Shipment Date,Planned Delivery Date,Actual Delivery Date,Distance (km),Delayed,Vehicle Type_Lorry,Vehicle Type_Trailer,Vehicle Type_Truck,Weather Conditions_Fog,Weather Conditions_Rain,Weather Conditions_Storm,Traffic Conditions_Light,Traffic Conditions_Moderate
SHIP000035,Mumbai,Delhi,2023-01-03,2023-01-04,2023-01-09,291,Yes,False,True,False,False,False,False,True,False
SHIP000036,Chennai,Kolkata,2023-10-10,2023-10-12,2023-10-14,785,Yes,True,False,False,True,False,False,True,False
SHIP000037,Lucknow,Chennai,2023-11-23,2023-11-29,2023-11-29,1886,No,False,False,True,False,False,False,True,False
SHIP000038,Pune,Mumbai,2023-07-24,2023-07-27,2023-07-27,961,No,False,True,False,False,False,False,True,False
SHIP000039,Delhi,Jaipur,2024-02-09,2024-02-15,2024-02-18,1968,Yes,False,True,False,False,False,False,True,False
SHIP000040,Chennai,Pune,2023-05-31,2023-06-01,2023-06-04,333,Yes,True,False,False,False,False,False,True,False
SHIP000041,Chennai,Pune,2023-06-07,2023-06-12,2023-06-14,1513,Yes,False,True,False,False,False,False,False,False
SHIP000042,Ahmedabad,Kolkata,2023-12-25,2023-12-29,2023-12-30,1228,Yes,True,False,False,False,False,False,False,True
SHIP000043,Kolkata,Mumbai,2023-06-19,2023-06-21,2023-06-24,872,Yes,True,False,False,False,True,False,False,False
SHIP000044,Mumbai,Jaipur,2023-11-28,2023-11-30,2023-11-30,812,No,False,False,False,False,False,False,True,False
SHIP000045,Ahmedabad,Delhi,2024-04-13,2024-04-17,2024-04-19,1244,Yes,False,False,False,False,False,False,True,False
SHIP000046,Mumbai,Ahmedabad,2023-11-29,2023-11-30,2023-12-01,355,Yes,False,False,True,False,False,False,False,True
SHIP000047,Mumbai,Jaipur,2024-05-17,2024-05-20,2024-05-20,1193,No,False,False,False,False,False,False,True,False
SHIP000048,Pune,Ahmedabad,2023-08-07,2023-08-11,2023-08-12,1317,Yes,False,False,True,False,False,False,False,True
SHIP000049,Hyderabad,Bangalore,2023-05-08,2023-05-14,2023-05-16,1969,Yes,False,True,False,True,False,False,True,False
SHIP000050,Jaipur,Lucknow,2023-02-23,2023-02-26,2023-02-26,952,No,False,False,True,False,False,False,True,False
SHIP000051,Chennai,Delhi,2024-03-25,2024-03-27,2024-03-28,604,Yes,True,False,False,False,False,False,False,True
SHIP000052,Kolkata,Bangalore,2024-01-29,2024-02-01,2024-02-01,1174,No,False,False,True,False,False,False,True,False
SHIP000053,Lucknow,Hyderabad,2023-02-26,2023-02-27,2023-02-27,362,No,False,True,False,False,False,False,True,False
SHIP000054,Delhi,Kolkata,2023-02-28,2023-03-03,2023-03-04,1005,Yes,False,False,False,False,False,False,False,True
SHIP000055,Bangalore,Chennai,2023-03-05,2023-03-09,2023-03-12,1250,Yes,False,False,False,False,False,False,True,False
SHIP000056,Hyderabad,Pune,2023-10-27,2023-10-31,2023-11-02,1286,Yes,False,False,True,True,False,False,True,False
SHIP000057,Kolkata,Jaipur,2023-07-31,2023-08-05,2023-08-12,1521,Yes,False,False,False,True,False,False,True,False
SHIP000058,Chennai,Mumbai,2024-04-01,2024-04-04,2024-04-06,921,Yes,True,False,False,True,False,False,True,False
SHIP000059,Ahmedabad,Kolkata,2024-03-02,2024-03-06,2024-03-07,1413,Yes,True,False,False,False,True,False,True,False
SHIP000060,Lucknow,Bangalore,2023-03-10,2023-03-11,2023-03-12,554,Yes,True,False,False,False,False,False,False,True
SHIP000061,Chennai,Pune,2023-01-27,2023-01-28,2023-01-31,523,Yes,True,False,False,False,False,False,True,False
SHIP000062,Jaipur,Mumbai,2023-09-01,2023-09-05,2023-09-06,1367,Yes,False,False,False,False,False,False,False,True
SHIP000063,Chennai,Delhi,2023-08-03,2023-08-08,2023-08-13,1677,Yes,False,True,False,False,True,False,True,False
SHIP000064,Hyderabad,Lucknow,2024-03-30,2024-03-31,2024-03-31,458,No,False,False,False,False,False,False,True,False
SHIP000065,Delhi,Kolkata,2023-12-11,2023-12-12,2023-12-15,496,Yes,False,False,False,False,False,False,False,True
SHIP000066,Hyderabad,Ahmedabad,2024-03-04,2024-03-08,2024-03-10,1311,Yes,False,False,False,False,False,False,False,False
SHIP000067,Lucknow,Pune,2024-05-08,2024-05-09,2024-05-13,455,Yes,False,False,False,False,False,False,True,False
SHIP000068,Bangalore,Kolkata,2023-07-06,2023-07-07,2023-07-09,550,Yes,False,False,True,False,False,False,True,False
SHIP000069,Lucknow,Kolkata,2023-01-14,2023-01-19,2023-01-20,1718,Yes,False,False,False,False,False,False,False,True
SHIP000070,Chennai,Hyderabad,2023-08-23,2023-08-25,2023-08-26,617,Yes,False,True,False,False,False,False,False,True
SHIP000071,Chennai,Bangalore,2023-12-05,2023-12-07,2023-12-11,879,Yes,False,False,False,False,False,False,False,False
SHIP000072,Lucknow,Mumbai,2023-12-25,2023-12-27,2023-12-28,683,Yes,True,False,False,False,False,False,False,True
SHIP000073,Lucknow,Ahmedabad,2023-01-05,2023-01-07,2023-01-08,629,Yes,True,False,False,False,False,False,False,True
SHIP000074,Hyderabad,Delhi,2023-12-20,2023-12-23,2023-12-23,1085,No,True,False,False,False,False,False,True,False
SHIP000075,Mumbai,Delhi,2024-03-04,2024-03-08,2024-03-12,1244,Yes,False,False,True,False,False,True,False,True
SHIP000076,Mumbai,Chennai,2023-11-14,2023-11-19,2023-11-20,1618,Yes,False,True,False,False,True,False,True,False
SHIP000077,Delhi,Kolkata,2023-07-01,2023-07-04,2023-07-05,1154,Yes,False,False,False,False,False,False,False,True
SHIP000078,Kolkata,Bangalore,2023-04-07,2023-04-13,2023-04-15,1880,Yes,True,False,False,False,True,False,False,True
SHIP000079,Mumbai,Hyderabad,2023-09-23,2023-09-24,2023-09-24,336,No,False,False,False,False,False,False,True,False
SHIP000080,Pune,Jaipur,2023-10-06,2023-10-12,2023-10-18,1849,Yes,True,False,False,False,False,False,False,True
SHIP000081,Jaipur,Ahmedabad,2024-02-24,2024-02-25,2024-02-27,421,Yes,False,False,True,False,True,False,False,True
SHIP000082,Ahmedabad,Bangalore,2023-12-26,2023-12-28,2023-12-31,725,Yes,False,False,True,False,False,False,False,True
SHIP000083,Mumbai,Chennai,2023-09-26,2023-09-30,2023-10-02,1293,Yes,False,False,True,False,False,False,True,False
SHIP000084,Chennai,Lucknow,2023-05-06,2023-05-12,2023-05-14,1848,Yes,True,False,False,True,False,False,True,False
SHIP000085,Jaipur,Kolkata,2023-12-22,2023-12-26,2023-12-28,1353,Yes,False,True,False,False,False,False,True,False
SHIP000086,Ahmedabad,Bangalore,2024-04-01,2024-04-02,2024-04-02,564,No,False,True,False,False,False,False,True,False
SHIP000087,Kolkata,Jaipur,2023-09-25,2023-10-01,2023-10-01,1814,No,False,True,False,False,False,False,True,False
SHIP000088,Lucknow,Delhi,2023-07-18,2023-07-19,2023-07-26,408,Yes,False,False,True,True,False,False,True,False
SHIP000089,Bangalore,Kolkata,2024-04-07,2024-04-08,2024-04-08,587,No,False,True,False,False,False,False,True,False
SHIP000090,Chennai,Jaipur,2023-04-01,2023-04-04,2023-04-05,1017,Yes,False,False,False,False,False,False,False,True
SHIP000091,Bangalore,Lucknow,2024-03-10,2024-03-12,2024-03-17,627,Yes,False,False,True,False,True,False,False,True
SHIP000092,Mumbai,Kolkata,2023-03-26,2023-03-28,2023-04-02,602,Yes,False,False,True,False,False,False,True,False
SHIP000093,Pune,Delhi,2023-04-24,2023-04-25,2023-04-28,520,Yes,False,True,False,False,False,False,True,False
SHIP000094,Jaipur,Bangalore,2023-11-17,2023-11-21,2023-11-23,1382,Yes,True,False,False,False,False,False,False,False
SHIP000095,Pune,Hyderabad,2023-04-28,2023-04-29,2023-05-03,518,Yes,True,False,False,False,False,False,False,False
SHIP000096,Delhi,Pune,2024-03-09,2024-03-14,2024-03-16,1585,Yes,False,True,False,True,False,False,True,False
SHIP000097,Mumbai,Lucknow,2023-12-22,2023-12-28,2023-12-30,1861,Yes,False,False,False,False,False,False,True,False
SHIP000098,Chennai,Hyderabad,2023-03-03,2023-03-04,2023-03-06,232,Yes,False,False,True,True,False,False,True,False
SHIP000099,Hyderabad,Mumbai,2023-05-02,2023-05-05,2023-05-09,1040,Yes,False,False,False,True,False,False,False,False
SHIP000100,Mumbai,Ahmedabad,2023-11-21,2023-11-25,2023-11-29,1414,Yes,False,False,False,False,False,True,False,True
SHIP000101,Ahmedabad,Delhi,2023-05-27,2023-05-30,2023-05-31,1115,Yes,False,False,False,False,False,False,False,True
SHIP000102,Jaipur,Ahmedabad,2023-10-28,2023-11-02,2023-11-04,1708,Yes,False,True,False,False,False,False,False,False
SHIP000103,Ahmedabad,Bangalore,2024-02-28,2024-03-05,2024-03-10,1839,Yes,False,True,False,False,False,False,False,False
SHIP000104,Jaipur,Delhi,2023-05-30,2023-06-03,2023-06-04,1495,Yes,False,False,False,False,False,False,False,True
SHIP000105,Delhi,Ahmedabad,2024-04-17,2024-04-21,2024-04-21,1340,No,True,False,False,False,False,False,True,False
SHIP000106,Kolkata,Ahmedabad,2023-05-31,2023-06-01,2023-06-03,364,Yes,False,True,False,False,False,False,False,False
SHIP000107,Kolkata,Ahmedabad,2023-12-04,2023-12-09,2023-12-12,1726,Yes,False,False,True,True,False,False,False,True
SHIP000108,Mumbai,Ahmedabad,2023-03-02,2023-03-05,2023-03-06,1172,Yes,False,False,True,False,True,False,True,False
SHIP000109,Hyderabad,Kolkata,2023-12-16,2023-12-17,2023-12-19,501,Yes,True,False,False,False,False,False,False,False
SHIP000110,Jaipur,Hyderabad,2023-04-18,2023-04-21,2023-04-23,1040,Yes,True,False,False,False,False,False,False,False
SHIP000111,Mumbai,Ahmedabad,2024-04-19,2024-04-24,2024-04-29,1635,Yes,False,True,False,True,False,False,True,False
SHIP000112,Ahmedabad,Kolkata,2023-05-11,2023-05-15,2023-05-16,1259,Yes,False,False,True,False,False,False,False,True
SHIP000113,Lucknow,Ahmedabad,2024-03-20,2024-03-22,2024-03-22,779,No,False,False,True,False,False,False,True,False
SHIP000114,Ahmedabad,Mumbai,2023-07-20,2023-07-22,2023-07-28,795,Yes,False,True,False,False,False,False,False,True
SHIP000115,Mumbai,Ahmedabad,2024-01-26,2024-01-27,2024-01-27,215,No,True,False,False,False,False,False,True,False
SHIP000116,Hyderabad,Mumbai,2024-01-26,2024-01-28,2024-01-30,719,Yes,False,False,False,False,False,False,False,False
SHIP000117,Chennai,Bangalore,2023-10-06,2023-10-11,2023-10-11,1625,No,True,False,False,False,False,False,True,False
SHIP000118,Kolkata,Delhi,2023-07-14,2023-07-20,2023-07-25,1980,Yes,False,False,True,False,False,False,False,False
SHIP000119,Pune,Lucknow,2023-05-21,2023-05-27,2023-05-29,1937,Yes,False,True,False,False,False,False,True,False
SHIP000120,Bangalore,Mumbai,2023-05-12,2023-05-18,2023-05-19,1802,Yes,False,True,False,False,False,False,False,True
SHIP000121,Pune,Mumbai,2024-01-24,2024-01-25,2024-01-26,361,Yes,False,False,True,False,False,False,False,True
SHIP000122,Bangalore,Kolkata,2023-09-18,2023-09-23,2023-09-24,1638,Yes,False,True,False,False,False,False,False,True
SHIP000123,Jaipur,Bangalore,2023-05-05,2023-05-10,2023-05-10,1703,No,False,True,False,False,False,False,True,False
SHIP000124,Bangalore,Delhi,2023-02-11,2023-02-12,2023-02-12,410,No,True,False,False,False,False,False,True,False
SHIP000125,Delhi,Bangalore,2024-03-22,2024-03-23,2024-03-24,321,Yes,False,False,True,False,False,False,False,True
SHIP000126,Kolkata,Chennai,2023-10-20,2023-10-21,2023-10-22,517,Yes,False,False,True,False,False,False,False,True
SHIP000127,Ahmedabad,Hyderabad,2024-03-02,2024-03-05,2024-03-05,953,No,True,False,False,False,False,False,True,False
SHIP000128,Mumbai,Hyderabad,2024-03-22,2024-03-28,2024-03-29,1926,Yes,False,False,False,False,False,False,False,True
SHIP000129,Jaipur,Hyderabad,2023-03-09,2023-03-13,2023-03-15,1313,Yes,False,False,False,False,False,False,False,False
SHIP000130,Mumbai,Ahmedabad,2023-06-15,2023-06-16,2023-06-18,578,Yes,False,True,False,False,False,False,True,False
SHIP000131,Lucknow,Chennai,2023-12-23,2023-12-25,2023-12-28,772,Yes,False,True,False,False,False,False,False,True
SHIP000132,Bangalore,Delhi,2024-02-21,2024-02-24,2024-02-25,1073,Yes,True,False,False,False,False,False,False,True
SHIP000133,Hyderabad,Chennai,2024-01-13,2024-01-16,2024-01-16,1120,No,False,False,True,False,False,False,True,False
SHIP000134,Ahmedabad,Hyderabad,2023-12-15,2023-12-20,2023-12-24,1771,Yes,True,False,False,False,False,False,False,False
SHIP000135,Jaipur,Pune,2023-07-04,2023-07-06,2023-07-06,656,No,False,False,True,False,False,False,True,False
SHIP000136,Pune,Hyderabad,2023-03-08,2023-03-11,2023-03-16,1112,Yes,False,False,False,False,False,False,False,True
SHIP000137,Mumbai,Hyderabad,2023-05-07,2023-05-08,2023-05-08,337,No,False,False,False,False,False,False,True,False
SHIP000138,Chennai,Hyderabad,2023-11-06,2023-11-09,2023-11-09,1189,No,False,False,False,False,False,False,True,False
SHIP000139,Hyderabad,Mumbai,2024-04-29,2024-05-04,2024-05-05,1610,Yes,False,True,False,False,False,False,False,True
SHIP000140,Lucknow,Chennai,2023-12-18,2023-12-22,2023-12-24,1255,Yes,True,False,False,True,False,False,True,False
SHIP000141,Chennai,Ahmedabad,2024-05-08,2024-05-11,2024-05-12,1101,Yes,False,False,False,False,False,False,False,True
SHIP000142,Mumbai,Kolkata,2023-07-29,2023-08-02,2023-08-04,1334,Yes,False,False,False,False,True,False,False,True
SHIP000143,Chennai,Kolkata,2023-06-05,2023-06-10,2023-06-11,1783,Yes,True,False,False,False,True,False,True,False
SHIP000144,Chennai,Pune,2023-04-23,2023-04-25,2023-04-25,603,No,False,False,True,False,False,False,True,False
SHIP000145,Bangalore,Kolkata,2023-10-28,2023-11-01,2023-11-01,1275,No,True,False,False,False,False,False,True,False
SHIP000146,Chennai,Delhi,2024-04-26,2024-04-27,2024-04-27,581,No,False,False,False,False,False,False,True,False
SHIP000147,Pune,Ahmedabad,2023-05-21,2023-05-25,2023-05-28,1374,Yes,False,False,False,False,False,False,True,False
SHIP000148,Ahmedabad,Hyderabad,2023-10-29,2023-10-30,2023-11-06,203,Yes,False,True,False,True,False,False,False,False
SHIP000149,Mumbai,Kolkata,2023-03-24,2023-03-25,2023-03-27,476,Yes,False,False,False,True,False,False,True,False
SHIP000150,Hyderabad,Jaipur,2024-04-08,2024-04-10,2024-04-10,600,No,False,False,True,False,False,False,True,False
SHIP000151,Pune,Lucknow,2024-02-21,2024-02-25,2024-03-01,1448,Yes,True,False,False,False,False,False,True,False
SHIP000152,Kolkata,Lucknow,2023-11-02,2023-11-06,2023-11-06,1430,No,False,False,True,False,False,False,True,False
SHIP000153,Bangalore,Hyderabad,2023-03-05,2023-03-06,2023-03-06,272,No,False,False,True,False,False,False,True,False
SHIP000154,Pune,Lucknow,2023-07-21,2023-07-26,2023-07-31,1568,Yes,False,True,False,False,False,True,True,False
SHIP000155,Pune,Kolkata,2023-08-15,2023-08-20,2023-08-22,1578,Yes,False,True,False,False,False,False,False,False
SHIP000156,Kolkata,Mumbai,2024-01-07,2024-01-10,2024-01-11,1173,Yes,True,False,False,False,True,False,True,False
SHIP000157,Hyderabad,Ahmedabad,2023-12-12,2023-12-14,2023-12-18,826,Yes,False,True,False,False,False,False,True,False
SHIP000158,Ahmedabad,Bangalore,2024-03-31,2024-04-03,2024-04-03,1067,No,False,False,True,False,False,False,True,False
SHIP000159,Bangalore,Hyderabad,2023-08-21,2023-08-26,2023-08-27,1764,Yes,False,True,False,False,False,False,False,True
SHIP000160,Delhi,Ahmedabad,2024-04-22,2024-04-26,2024-04-28,1238,Yes,False,False,True,False,False,False,False,False
SHIP000161,Hyderabad,Ahmedabad,2024-05-22,2024-05-23,2024-05-24,564,Yes,True,False,False,False,False,False,False,True
SHIP000162,Ahmedabad,Kolkata,2024-06-01,2024-06-04,2024-06-05,957,Yes,False,False,False,False,True,False,True,False
SHIP000163,Lucknow,Jaipur,2023-02-19,2023-02-24,2023-02-25,1646,Yes,False,False,True,False,False,False,False,True
SHIP000164,Delhi,Bangalore,2024-02-19,2024-02-21,2024-02-21,625,No,True,False,False,False,False,False,True,False
SHIP000165,Chennai,Bangalore,2023-07-10,2023-07-16,2023-07-17,1938,Yes,True,False,False,False,True,False,True,False
SHIP000166,Bangalore,Pune,2023-08-24,2023-08-25,2023-08-27,282,Yes,False,True,False,False,False,False,False,False
SHIP000167,Kolkata,Mumbai,2023-07-01,2023-07-06,2023-07-07,1635,Yes,False,True,False,False,False,False,False,True
SHIP000168,Lucknow,Pune,2023-02-01,2023-02-06,2023-02-09,1708,Yes,True,False,False,False,False,False,True,False
SHIP000169,Kolkata,Bangalore,2023-08-29,2023-09-01,2023-09-01,1019,No,False,False,True,False,False,False,True,False
SHIP000170,Delhi,Mumbai,2023-01-12,2023-01-13,2023-01-16,522,Yes,True,False,False,False,False,True,True,False
SHIP000171,Bangalore,Ahmedabad,2024-04-11,2024-04-14,2024-04-15,965,Yes,False,False,True,False,False,False,False,True
SHIP000172,Kolkata,Hyderabad,2024-05-26,2024-05-29,2024-05-29,1060,No,False,True,False,False,False,False,True,False
SHIP000173,Hyderabad,Bangalore,2024-04-12,2024-04-16,2024-04-17,1462,Yes,False,False,True,False,False,False,False,True
SHIP000174,Lucknow,Delhi,2023-04-02,2023-04-06,2023-04-08,1350,Yes,False,False,False,False,False,False,False,False
SHIP000175,Pune,Jaipur,2023-10-04,2023-10-09,2023-10-14,1757,Yes,True,False,False,False,False,False,False,True
SHIP000176,Pune,Jaipur,2024-02-07,2024-02-10,2024-02-14,980,Yes,False,True,False,False,False,False,False,False
SHIP000177,Jaipur,Ahmedabad,2023-03-08,2023-03-09,2023-03-11,296,Yes,False,True,False,False,False,False,False,False
SHIP000178,Chennai,Delhi,2024-03-10,2024-03-13,2024-03-16,929,Yes,False,False,False,False,False,True,True,False
SHIP000179,Jaipur,Delhi,2024-02-17,2024-02-18,2024-02-23,238,Yes,False,True,False,False,False,False,True,False
SHIP000180,Mumbai,Pune,2023-08-28,2023-09-01,2023-09-01,1452,No,False,False,True,False,False,False,True,False
SHIP000181,Kolkata,Chennai,2023-03-28,2023-04-01,2023-04-01,1436,No,False,False,False,False,False,False,True,False
SHIP000182,Jaipur,Chennai,2023-01-25,2023-01-27,2023-01-28,632,Yes,False,False,False,False,False,False,False,True
SHIP000183,Mumbai,Jaipur,2023-12-10,2023-12-14,2023-12-16,1229,Yes,False,False,False,False,True,False,False,True
SHIP000184,Hyderabad,Jaipur,2023-06-15,2023-06-18,2023-06-19,975,Yes,True,False,False,False,False,False,False,True
SHIP000185,Ahmedabad,Mumbai,2023-10-01,2023-10-02,2023-10-04,544,Yes,False,False,False,False,False,False,False,False
SHIP000186,Pune,Lucknow,2023-12-03,2023-12-08,2023-12-11,1769,Yes,True,False,False,False,True,False,False,False
SHIP000187,Bangalore,Jaipur,2023-10-08,2023-10-14,2023-10-22,1960,Yes,False,False,True,True,False,False,False,False
SHIP000188,Ahmedabad,Kolkata,2023-07-06,2023-07-11,2023-07-16,1632,Yes,False,True,False,False,False,False,False,False
SHIP000189,Jaipur,Kolkata,2024-05-15,2024-05-21,2024-05-24,1859,Yes,False,True,False,True,False,False,False,True
SHIP000190,Hyderabad,Mumbai,2023-02-04,2023-02-08,2023-02-09,1438,Yes,True,False,False,False,False,False,False,True
SHIP000191,Pune,Jaipur,2023-03-02,2023-03-05,2023-03-07,1038,Yes,False,True,False,True,False,False,True,False
SHIP000192,Pune,Bangalore,2023-08-27,2023-08-30,2023-09-01,967,Yes,False,False,True,True,False,False,True,False
SHIP000193,Pune,Chennai,2023-04-05,2023-04-06,2023-04-13,244,Yes,False,False,True,False,True,False,False,True
SHIP000194,Chennai,Delhi,2023-06-14,2023-06-17,2023-06-19,912,Yes,False,True,False,False,False,False,False,False
SHIP000195,Chennai,Jaipur,2023-05-15,2023-05-18,2023-05-21,1046,Yes,False,True,False,False,False,True,True,False
SHIP000196,Ahmedabad,Kolkata,2023-07-17,2023-07-18,2023-07-19,541,Yes,False,False,False,False,False,False,False,True
SHIP000197,Bangalore,Pune,2023-09-27,2023-10-03,2023-10-02,1748,Yes,False,True,False,False,False,False,False,True
SHIP000198,Chennai,Kolkata,2024-03-18,2024-03-22,2024-03-23,1399,Yes,False,True,False,False,False,False,False,True
SHIP000199,Ahmedabad,Jaipur,2023-04-27,2023-04-30,2023-04-30,1023,No,False,False,False,False,False,False,True,False
SHIP000200,Kolkata,Hyderabad,2023-12-14,2023-12-19,2023-12-20,1684,Yes,False,True,False,False,False,False,False,True
SHIP000201,Lucknow,Mumbai,2023-04-28,2023-05-01,2023-05-03,1144,Yes,False,True,False,False,False,False,False,False
SHIP000202,Lucknow,Hyderabad,2023-02-03,2023-02-08,2023-02-11,1662,Yes,False,False,False,False,False,True,True,False
SHIP000203,Pune,Bangalore,2024-03-22,2024-03-25,2024-03-26,955,Yes,False,True,False,False,True,False,True,False
SHIP000204,Bangalore,Pune,2024-03-21,2024-03-23,2024-03-25,870,Yes,False,False,True,True,False,False,True,False
SHIP000205,Pune,Lucknow,2023-08-07,2023-08-11,2023-08-13,1217,Yes,True,False,False,False,True,False,False,True
SHIP000206,Lucknow,Kolkata,2023-04-17,2023-04-20,2023-04-20,1031,No,True,False,False,False,False,False,True,False
SHIP000207,Bangalore,Lucknow,2024-05-08,2024-05-14,2024-05-15,1824,Yes,True,False,False,False,False,False,False,True
SHIP000208,Ahmedabad,Lucknow,2023-07-01,2023-07-03,2023-07-03,792,No,False,False,True,False,False,False,True,False
SHIP000209,Bangalore,Delhi,2023-02-02,2023-02-04,2023-02-04,725,No,False,True,False,False,False,False,True,False
SHIP000210,Bangalore,Mumbai,2023-08-05,2023-08-08,2023-08-10,935,Yes,False,False,True,False,True,False,False,True
SHIP000211,Ahmedabad,Bangalore,2024-05-05,2024-05-07,2024-05-08,638,Yes,False,True,False,False,True,False,True,False
SHIP000212,Kolkata,Mumbai,2023-05-11,2023-05-13,2023-05-19,674,Yes,False,False,False,True,False,False,True,False
SHIP000213,Ahmedabad,Chennai,2023-12-31,2024-01-01,2024-01-09,349,Yes,False,True,False,False,False,True,True,False
SHIP000214,Pune,Mumbai,2023-11-11,2023-11-13,2023-11-15,871,Yes,False,True,False,False,False,False,False,False
SHIP000215,Lucknow,Mumbai,2023-04-07,2023-04-10,2023-04-16,1192,Yes,False,True,False,False,True,False,True,False
SHIP000216,Lucknow,Jaipur,2023-03-14,2023-03-15,2023-03-15,411,No,False,False,True,False,False,False,True,False
SHIP000217,Chennai,Ahmedabad,2023-07-05,2023-07-11,2023-07-12,1819,Yes,False,False,True,False,False,False,False,True
SHIP000218,Ahmedabad,Delhi,2023-10-19,2023-10-21,2023-10-27,803,Yes,False,False,False,False,True,False,False,True
SHIP000219,Kolkata,Ahmedabad,2024-04-05,2024-04-10,2024-04-10,1582,No,False,False,False,False,False,False,True,False
